days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,,Singh Dr. Arti AIDS-II_B2 AR-104 A-702,Lalit Dr. Ruchika AIDS-II_B2 AR-102 A-702,Hooda Dr. Chetana AIDS-II_B2 AR-110 A-702,,Tripathi Dr. Deepak AIDS-II_B2 AR-108 A-702,Lalit Dr. Ruchika AIDS-II_B2_B AR-152 A-203 Com Lab,Lalit Dr. Ruchika AIDS-II_B2_B AR-152 A-203 Com Lab
Mo,,,,,,,Chand Dr. Mahesh AIDS-II_B2_A AR-158 A-003 Chem Lab,Chand Dr. Mahesh AIDS-II_B2_A AR-158 A-003 Chem Lab
Tu,,Joshi Dr. Bhanu Prakash AIDS-II_B2 AR-106 A-702,Tripathi Dr. Deepak AIDS-II_B2 AR-108 A-702,,Tripathi Dr. Deepak AIDS-II_B2_B AR-156 AUB-01 Phy Lab,Tripathi Dr. Deepak AIDS-II_B2_B AR-156 AUB-01 Phy Lab,Singh Dr. Arti AIDS-II_B2 AR-104 A-702,Chand Dr. Mahesh AIDS-II_B2 AR-112 A-702
Tu,,,,,Joshi Dr. Bhanu Prakash AIDS-II_B2_A AR-154 AUB-06,Joshi Dr. Bhanu Prakash AIDS-II_B2_A AR-154 AUB-06,,
We,,,Tripathi Dr. Deepak AIDS-II_B2_A AR-156 AUB-01 Phy Lab,Tripathi Dr. Deepak AIDS-II_B2_A AR-156 AUB-01 Phy Lab,,Singh Dr. Arti AIDS-II_B2 AR-114 A-702,Bhatia Dr. Anshul AIDS-II_B2_A AR-152 A-204 Com Lab,Bhatia Dr. Anshul AIDS-II_B2_A AR-152 A-204 Com Lab
We,,,Chand Dr. Mahesh AIDS-II_B2_B AR-158 A-003 Chem Lab,Chand Dr. Mahesh AIDS-II_B2_B AR-158 A-003 Chem Lab,,,Joshi Dr. Bhanu Prakash AIDS-II_B2_B AR-154 AUB-06,Joshi Dr. Bhanu Prakash AIDS-II_B2_B AR-154 AUB-06
Th,,Tripathi Dr. Deepak AIDS-II_B2 AR-108 A-702,Lalit Dr. Ruchika AIDS-II_B2 AR-102 A-702,Chand Dr. Mahesh AIDS-II_B2 AR-112 A-702,,Singh Dr. Arti AIDS-II_B2 AR-114 A-702,Joshi Dr. Bhanu Prakash AIDS-II_B2 AR-106 A-702,
Fr,,Joshi Dr. Bhanu Prakash AIDS-II_B2 AR-106 A-702,Hooda Dr. Chetana AIDS-II_B2 AR-110 A-702,Singh Dr. Arti AIDS-II_B2 AR-104 A-702,Lalit Dr. Ruchika AIDS-II_B2 AR-102 A-702,,,
