days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,,Muthaiah Dr. V. M. Rajavel A R-IV_B2 ARA-208 A-403,Baghel Dr. Pushp Kumar A R-IV_B2 ARA-206 A-403,Chaudhary Dr. Sumit A R-IV_B2 ARA-202 A-406,Chaudhary Dr. Sumit A R-IV_B2 ARA-202 A-406,,Kumar Dr. Ghanendra A R-IV_B2 ARA-210 A-403,Kumar Dr. Ghanendra A R-IV_B2 ARA-210 A-403
Tu,Arya Dr. Rajendra A R-IV_B2 ARA-204 A-403,Arya Dr. Rajendra A R-IV_B2 ARA-204 A-403,Butola Dr. Ravi A R-IV_B2 ARA-212 A-403,Butola Dr. Ravi A R-IV_B2 ARA-212 A-403,,Baghel Dr. Pushp Kumar A R-IV_B2 ARA-206 A-403,Butola Dr. Ravi A R-IV_B2 ARA-212 A-403,Butola Dr. Ravi A R-IV_B2 ARA-212 A-403
We,Muthaiah Dr. V. M. Rajavel A R-IV_B2 ARA-208 A-403,Baghel Dr. Pushp Kumar A R-IV_B2 ARA-206 A-403,Chaudhary Dr. Sumit A R-IV_B2 ARA-202 A-403,Chaudhary Dr. Sumit A R-IV_B2 ARA-202 A-403,,Arya Dr. Rajendra A R-IV_B2 ARA-204 A-403,Butola Dr. Ravi A R-IV_B2_B ARA-256 AUB-USDI-Workshop-1,Butola Dr. Ravi A R-IV_B2_B ARA-256 AUB-USDI-Workshop-1
We,,,,,,,Chaudhary Dr. Sumit A R-IV_B2_A ARA-252 A-302,Chaudhary Dr. Sumit A R-IV_B2_A ARA-252 A-302
Th,Jindal Ms. Kanika A R-IV_B2 MSAR-214 A-403,Jindal Ms. Kanika A R-IV_B2 MSAR-214 A-403,Kumar Dr. Ghanendra A R-IV_B2 ARA-258 A-007 Com Lab,Kumar Dr. Ghanendra A R-IV_B2 ARA-258 A-007 Com Lab,,Muthaiah Dr. V. M. Rajavel A R-IV_B2 ARA-208 A-403,Chaudhary Dr. Sumit A R-IV_B2_B ARA-252 A-302,Chaudhary Dr. Sumit A R-IV_B2_B ARA-252 A-302
Th,,,,,,,Butola Dr. Ravi A R-IV_B2_A ARA-256 AUB-USDI-Workshop-1,Butola Dr. Ravi A R-IV_B2_A ARA-256 AUB-USDI-Workshop-1
Fr,Arya Dr. Rajendra A R-IV_B2 ARA-254 A-304 Mechatronics Lab,Arya Dr. Rajendra A R-IV_B2 ARA-254 A-304 Mechatronics Lab,Baghel Dr. Pushp Kumar A R-IV_B2 ARA-206 A-403,Muthaiah Dr. V. M. Rajavel A R-IV_B2 ARA-208 A-403,,Kumar Dr. Ghanendra A R-IV_B2 ARA-210 A-403,Kumar Dr. Ghanendra A R-IV_B2 ARA-210 A-403,
