days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,Butola Dr. Ravi A R-IV_B1 ARA-212 A-210,Butola Dr. Ravi A R-IV_B1 ARA-212 A-210,Arya Dr. Rajendra A R-IV_B1 ARA-254 A-304 Mechatronics Lab,Arya Dr. Rajendra A R-IV_B1 ARA-254 A-304 Mechatronics Lab,,Baghel Dr. Pushp Kumar A R-IV_B1 ARA-206 A-210,Arya Dr. Rajendra A R-IV_B1 ARA-204 A-210,Arya Dr. Rajendra A R-IV_B1 ARA-204 A-210
Tu,,Chaudhary Dr. Sumit A R-IV_B1 ARA-202 A-210,Chaudhary Dr. Sumit A R-IV_B1 ARA-202 A-210,Bhargava Mr. Ankur A R-IV_B1 ARA-208 A-210,,Bhargava Mr. Ankur A R-IV_B1 ARA-208 A-210,Kumar Dr. Ghanendra A R-IV_B1 ARA-210 A-210,Kumar Dr. Ghanendra A R-IV_B1 ARA-210 A-210
We,Kumar Dr. Ghanendra A R-IV_B1 ARA-258 A-203 Com Lab,Kumar Dr. Ghanendra A R-IV_B1 ARA-258 A-203 Com Lab,Bhargava Mr. Ankur A R-IV_B1 ARA-208 A-210,Baghel Dr. Pushp Kumar A R-IV_B1 ARA-206 A-210,,Bhargava Mr. Ankur A R-IV_B1 ARA-208 A-210,Kumar Dr. Ghanendra A R-IV_B1 ARA-210 A-210,Kumar Dr. Ghanendra A R-IV_B1 ARA-210 A-210
Th,Chaudhary Dr. Sumit A R-IV_B1 ARA-202 A-210,Chaudhary Dr. Sumit A R-IV_B1 ARA-202 A-210,Butola Dr. Ravi A R-IV_B1_B ARA-256 AUB-USDI-Workshop-1,Butola Dr. Ravi A R-IV_B1_B ARA-256 AUB-USDI-Workshop-1,,Jindal Ms. Kanika A R-IV_B1 MSAR-214 A-210,Baghel Dr. Pushp Kumar A R-IV_B1 ARA-206 A-210,Arya Dr. Rajendra A R-IV_B1 ARA-204 A-210
Th,,,Chaudhary Dr. Sumit A R-IV_B1-A ARA-252 A-302,Chaudhary Dr. Sumit A R-IV_B1-A ARA-252 A-302,,,,
Fr,Butola Dr. Ravi A R-IV_B1 ARA-212 A-210,Butola Dr. Ravi A R-IV_B1 ARA-212 A-210,Butola Dr. Ravi A R-IV_B1-A ARA-256 AUB-USDI-Workshop-1,Butola Dr. Ravi A R-IV_B1-A ARA-256 AUB-USDI-Workshop-1,Baghel Dr. Pushp Kumar A R-IV_B1 ARA-206 A-210,,Jindal Ms. Kanika A R-IV_B1 MSAR-214 A-104,
Fr,,,Chaudhary Dr. Sumit A R-IV_B1_B ARA-252 A-302,Chaudhary Dr. Sumit A R-IV_B1_B ARA-252 A-302,,,,
